Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
prune_percent,4.000000000000004,36.17606694481592,False,True,-0.4655880702345981,8.0,two-sided,0.6539227250035845,1.0,bonf,0.527,-0.26596725866855303
prune_percent,4.000000000000004,38.72902426702328,False,True,-0.16425945754259902,8.0,two-sided,0.873601180359056,1.0,bonf,0.497,-0.09383324106860284
prune_percent,4.000000000000004,41.179863296342354,False,True,1.0736165522011738,8.0,two-sided,0.3143078796953799,1.0,bonf,0.694,0.6133036250397262
prune_percent,4.000000000000004,43.53266876448867,False,True,-0.6834596557325626,8.0,two-sided,0.5136206208741443,1.0,bonf,0.569,-0.3904264363005465
prune_percent,4.000000000000004,45.79136201390912,False,True,0.47517870079369573,8.0,two-sided,0.6473623141425641,1.0,bonf,0.528,0.27144590789043016
prune_percent,4.000000000000004,47.95970753335276,False,True,-0.281175624834132,8.0,two-sided,0.7857111228209028,1.0,bonf,0.505,-0.16062162010265876
prune_percent,4.000000000000004,50.04131923201864,False,True,1.5931428705237762,8.0,two-sided,0.1497936465651054,1.0,bonf,0.999,0.9100831164489558
prune_percent,7.840000000000002,11.526400000000002,False,True,-0.39663359674687854,8.0,two-sided,0.7020078672804929,1.0,bonf,0.517,-0.2265770047962377
prune_percent,7.840000000000002,15.065344000000003,False,True,-0.6060735725067994,8.0,two-sided,0.5612644079892224,1.0,bonf,0.552,-0.34621962403346696
prune_percent,7.840000000000002,18.462730240000003,False,True,0.2167155836906694,8.0,two-sided,0.8338543841854347,1.0,bonf,0.5,0.12379881141696727
prune_percent,7.840000000000002,21.724221030400003,False,True,-1.0090816506198421,8.0,two-sided,0.3424781614207929,1.0,bonf,0.668,-0.5764380523170767
prune_percent,7.840000000000002,24.855252189184007,False,True,-0.6468823300599934,8.0,two-sided,0.5358230362452729,1.0,bonf,0.56,-0.36953163323212124
prune_percent,7.840000000000002,27.86104210161665,False,True,0.5144944337251733,8.0,two-sided,0.6208145300067613,1.0,bonf,0.535,0.2939050265380819
prune_percent,7.840000000000002,30.746600417551985,False,True,0.11293488668044768,8.0,two-sided,0.9128647077422545,1.0,bonf,0.494,0.06451407185606683
prune_percent,7.840000000000002,33.51673640084991,False,True,0.7717478303542633,8.0,two-sided,0.46244908079394875,1.0,bonf,0.591,0.4408610699997141
prune_percent,7.840000000000002,36.17606694481592,False,True,-0.4969415581399641,8.0,two-sided,0.6325973085257925,1.0,bonf,0.532,-0.28387794358727536
prune_percent,7.840000000000002,38.72902426702328,False,True,-0.16216052269910308,8.0,two-sided,0.8752003902108458,1.0,bonf,0.497,-0.09263422420769567
prune_percent,7.840000000000002,41.179863296342354,False,True,1.1883599465244332,8.0,two-sided,0.26877016554440625,1.0,bonf,0.745,0.678850807172432
prune_percent,7.840000000000002,43.53266876448867,False,True,-0.7089799890765457,8.0,two-sided,0.4984738373121378,1.0,bonf,0.575,-0.4050049307546394
prune_percent,7.840000000000002,45.79136201390912,False,True,0.5333927124507092,8.0,two-sided,0.6082575879483787,1.0,bonf,0.538,0.3047006712453279
prune_percent,7.840000000000002,47.95970753335276,False,True,-0.285151527008741,8.0,two-sided,0.7827711158068451,1.0,bonf,0.505,-0.16289285484796112
