run_id,fusion_type,pruned,prune_amount,test_accuracy,svm_model_path
run4,softmax,pruned,11_53percent,78.72,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run4__pruned_11_53percent_softmax_fusion_svm_acc_78.72.joblib
run2,softmax,pruned,50_04percent,78.85,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run2__pruned_50_04percent_softmax_fusion_svm_acc_78.85.joblib
run5,softmax,pruned,11_53percent,78.66,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run5__pruned_11_53percent_softmax_fusion_svm_acc_78.66.joblib
run3,softmax,pruned,50_04percent,78.72,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run3__pruned_50_04percent_softmax_fusion_svm_acc_78.72.joblib
run4,softmax,pruned,15_07percent,79.18,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run4__pruned_15_07percent_softmax_fusion_svm_acc_79.18.joblib
run5,softmax,pruned,15_07percent,79.2,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run5__pruned_15_07percent_softmax_fusion_svm_acc_79.20.joblib
run4,softmax,pruned,18_46percent,79.12,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run4__pruned_18_46percent_softmax_fusion_svm_acc_79.12.joblib
run5,softmax,pruned,18_46percent,78.83,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run5__pruned_18_46percent_softmax_fusion_svm_acc_78.83.joblib
run4,softmax,pruned,21_72percent,79.61,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run4__pruned_21_72percent_softmax_fusion_svm_acc_79.61.joblib
run5,softmax,pruned,21_72percent,79.45,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run5__pruned_21_72percent_softmax_fusion_svm_acc_79.45.joblib
run4,softmax,pruned,24_86percent,78.5,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run4__pruned_24_86percent_softmax_fusion_svm_acc_78.50.joblib
run5,softmax,pruned,24_86percent,78.69,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run5__pruned_24_86percent_softmax_fusion_svm_acc_78.69.joblib
run4,softmax,pruned,27_86percent,78.99,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run4__pruned_27_86percent_softmax_fusion_svm_acc_78.99.joblib
run5,softmax,pruned,27_86percent,79.01,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run5__pruned_27_86percent_softmax_fusion_svm_acc_79.01.joblib
run4,softmax,pruned,30_75percent,78.45,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run4__pruned_30_75percent_softmax_fusion_svm_acc_78.45.joblib
run5,softmax,pruned,30_75percent,79.15,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run5__pruned_30_75percent_softmax_fusion_svm_acc_79.15.joblib
run4,softmax,pruned,33_52percent,79.26,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run4__pruned_33_52percent_softmax_fusion_svm_acc_79.26.joblib
run5,softmax,pruned,33_52percent,79.5,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run5__pruned_33_52percent_softmax_fusion_svm_acc_79.50.joblib
run4,softmax,pruned,36_18percent,78.85,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run4__pruned_36_18percent_softmax_fusion_svm_acc_78.85.joblib
run5,softmax,pruned,36_18percent,78.58,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run5__pruned_36_18percent_softmax_fusion_svm_acc_78.58.joblib
run4,softmax,pruned,38_73percent,79.61,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run4__pruned_38_73percent_softmax_fusion_svm_acc_79.61.joblib
run5,softmax,pruned,38_73percent,79.42,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run5__pruned_38_73percent_softmax_fusion_svm_acc_79.42.joblib
run4,softmax,pruned,41_18percent,79.36,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run4__pruned_41_18percent_softmax_fusion_svm_acc_79.36.joblib
run5,softmax,pruned,41_18percent,79.63,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run5__pruned_41_18percent_softmax_fusion_svm_acc_79.63.joblib
run4,softmax,pruned,43_53percent,78.66,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run4__pruned_43_53percent_softmax_fusion_svm_acc_78.66.joblib
run5,softmax,pruned,43_53percent,78.91,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run5__pruned_43_53percent_softmax_fusion_svm_acc_78.91.joblib
run4,softmax,pruned,45_79percent,79.15,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run4__pruned_45_79percent_softmax_fusion_svm_acc_79.15.joblib
run5,softmax,pruned,45_79percent,79.55,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run5__pruned_45_79percent_softmax_fusion_svm_acc_79.55.joblib
run4,softmax,pruned,47_96percent,78.93,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run4__pruned_47_96percent_softmax_fusion_svm_acc_78.93.joblib
run5,softmax,pruned,47_96percent,78.91,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run5__pruned_47_96percent_softmax_fusion_svm_acc_78.91.joblib
run4,softmax,pruned,50_04percent,78.45,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run4__pruned_50_04percent_softmax_fusion_svm_acc_78.45.joblib
run5,softmax,pruned,50_04percent,78.91,/home/mzullich/diana/two_stream_architecture/saved_models/fusion/softmax/run5__pruned_50_04percent_softmax_fusion_svm_acc_78.91.joblib
